id,aidat_tl,amerikan_mutfak,arakat_dubleksi,asansor,bahce_dubleksi,bahce_kati,bahceli,balkon,banyo_sayisi,bina_yasi,bogaz_manzarali,boyali,brut_m2,bulundugu_kat,cati_dubleksi,celik_kapi,deniz_manzarali,doga_manzarali,duvar_kagidi,emlak_tipi,esyali,fiyat,gol_manzarali,goruntulu_diafon,guney,guvenlik,havuz_manzarali,ilan_tarihi,isi_yalitim,isicam,isitma,kapali_garaj,kat_dubleksi,kat_sayisi,kimden,klima,kullanim_durumu,laminat_zemin,mahalle,mobilya,net_m2,oda_sayisi,otopark,parke_zemin,pvc_dograma,sehir,sehir_manzarali,semt,site_icerisinde,takas,teras,tripleks,yuzme_havuzu
632524142,Belirtilmemiş,False,False,False,False,False,False,Var,1,0,False,False,79,2,False,False,False,False,False,Satılık Residence,Hayır,395.000 TL,False,False,False,False,False,04 Aralık 2018,False,False,Klima,False,False,5,İnşaat Firmasından,False,Boş,False,Liman Mah.,False,10,1,False,False,False,Antalya,False,Konyaaltı,Evet,Hayır,False,False,False
632531662,Belirtilmemiş,False,False,False,False,False,False,Var,2,0,False,False,105,Kot 2,False,False,False,False,False,Satılık Daire,Hayır,450.000 TL,False,False,False,False,False,04 Aralık 2018,False,False,Klima,False,False,3,İnşaat Firmasından,False,Boş,False,Sarısu Mh.,False,10,2+1,False,False,False,Antalya,False,Konyaaltı,Evet,Hayır,False,False,False
632841968,135,True,False,False,False,False,False,Var,2,4,False,False,220,5,False,False,False,True,False,Satılık Residence,Hayır,595.000 TL,False,False,True,True,False,12 Aralık 2018,False,False,Klima,False,False,10,Sahibinden,False,Kiracı Oturuyor,False,Hurma Mah.,True,130,3,True,True,False,Antalya,True,Konyaaltı,Evet,Hayır,False,False,True
632887779,15,False,False,False,False,False,False,Var,1,5-10 arası,False,True,145,Kot 3,False,False,False,False,False,Satılık Daire,Hayır,230.000 TL,False,False,True,False,False,13 Aralık 2018,True,True,Klima,False,False,3,Sahibinden,False,Mülk Sahibi,True,Gündoğdu Mh.,False,125,3+1,True,True,True,Antalya,True,Kepez,Hayır,Hayır,False,False,False
632913450,Belirtilmemiş,False,False,False,False,False,False,Var,1,0,False,False,110,1,False,False,False,False,False,Satılık Daire,Hayır,181.000 TL,False,False,True,False,False,12 Aralık 2018,False,False,Klima,False,False,3,Sahibinden,False,Boş,False,Sütçüler Mh.,False,96,2+1,False,False,False,Antalya,False,Kepez,Hayır,Evet,False,False,False
633104550,30,False,False,False,False,False,False,Var,1,4,False,False,82,1,False,False,False,False,False,Satılık Daire,Evet,254.000 TL,False,False,False,False,False,12 Aralık 2018,False,False,Klima,False,False,2,Sahibinden,False,Boş,False,Güzeloba Mh.,False,70,2+1,False,False,False,Antalya,False,Muratpaşa,Hayır,Evet,False,False,False
633115803,300,False,False,True,False,False,False,Var,2,0,False,False,115,1,False,True,False,True,False,Satılık Daire,Hayır,524.000 TL,False,True,True,True,False,06 Aralık 2018,True,True,VRV,True,False,4,İnşaat Firmasından,True,Boş,True,Güzeloba Mh.,False,78,2+1,True,False,True,Antalya,True,Muratpaşa,,Hayır,False,False,True
633187880,Belirtilmemiş,False,False,True,False,False,False,Var,1,1,False,False,95,2,False,True,False,True,True,Satılık Daire,Hayır,650.000 TL,False,True,True,False,False,06 Aralık 2018,True,True,Doğalgaz (Kombi),False,False,4,Emlak Ofisinden,True,Boş,True,Liman Mah.,False,85,2+1,True,False,True,Antalya,True,Konyaaltı,Hayır,Hayır,True,False,True
633272396,Belirtilmemiş,False,False,False,False,False,False,Var,1,0,False,False,115,2,False,False,False,False,False,Satılık Daire,Hayır,124.000 TL,False,False,False,False,False,06 Aralık 2018,False,False,Soba,False,False,3,Emlak Ofisinden,False,Boş,False,Sarılar Mh.,False,100,2+1,False,False,False,Antalya,False,Manavgat,Hayır,Hayır,False,False,False
633434909,Belirtilmemiş,False,False,True,False,False,False,Var,2,0,False,True,110,2,False,True,False,False,False,Satılık Daire,Hayır,215.000 TL,False,False,True,False,False,07 Aralık 2018,True,True,Klima,False,False,3,Emlak Ofisinden,False,Boş,True,Teomanpaşa Mh.,True,100,2+1,True,True,True,Antalya,True,Kepez,Hayır,Evet,False,False,False
633495655,300,False,False,True,False,False,False,Var,2,0,False,True,190,2,False,True,False,True,True,Satılık Daire,Hayır,750.000 TL,False,True,True,True,False,07 Aralık 2018,True,True,Kat Kaloriferi,True,False,4,Emlak Ofisinden,True,Boş,False,Uncalı Mh.,False,180,4+1,True,True,True,Antalya,True,Konyaaltı,Evet,Hayır,False,False,True
633498146,0,False,False,False,False,False,False,Var,1,0,False,False,120,3,False,False,False,False,False,Satılık Daire,Hayır,175.000 TL,False,False,True,False,False,07 Aralık 2018,False,False,Klima,False,False,6,İnşaat Firmasından,False,Boş,False,Habibler Mh.,False,100,2+1,False,False,False,Antalya,False,Kepez,,Evet,False,False,False
633531840,Belirtilmemiş,False,False,True,False,False,True,Var,1,0,False,True,110,2,False,True,False,True,True,Satılık Daire,Hayır,165.000 TL,False,True,True,False,False,07 Aralık 2018,True,True,Doğalgaz (Kombi),False,False,4,Emlak Ofisinden,False,Boş,True,Kızılarık Mh.,False,110,2+1,True,True,True,Antalya,True,Muratpaşa,Hayır,Hayır,False,False,False
633564036,Belirtilmemiş,False,False,False,False,False,False,Yok,1,5-10 arası,False,False,75,Yüksek Giriş,False,False,False,False,False,Satılık Daire,Hayır,88.000 TL,False,False,False,False,False,07 Aralık 2018,False,False,Klima,False,False,3,Emlak Ofisinden,False,Boş,False,Teomanpaşa Mh.,False,60,1+1,False,False,False,Antalya,False,Kepez,Hayır,Hayır,False,False,False
633569619,Belirtilmemiş,False,False,True,False,False,False,Var,1,0,False,True,100,2,False,True,False,False,False,Satılık Daire,Hayır,295.000 TL,False,True,True,False,False,07 Aralık 2018,True,True,Klima,False,False,4,Emlak Ofisinden,False,Boş,False,Kızıltoprak Mh.,False,90,2+1,True,True,True,Antalya,False,Muratpaşa,Hayır,Evet,False,False,False
633579117,Belirtilmemiş,False,False,True,False,False,False,Var,2,0,False,False,240,3,False,False,False,False,False,Satılık Daire,Hayır,315.000 TL,False,False,False,False,False,07 Aralık 2018,False,False,Kat Kaloriferi,False,False,3,Emlak Ofisinden,False,Boş,False,Çankaya Mh.,False,220,5+1,False,False,False,Antalya,True,Kepez,Evet,Evet,False,False,False
633591757,Belirtilmemiş,False,False,True,False,True,True,Var,1,4,False,True,90,Yüksek Giriş,False,True,True,True,False,Satılık Daire,Hayır,126.000 TL,False,True,False,False,False,07 Aralık 2018,True,True,Doğalgaz (Kombi),False,False,3,Emlak Ofisinden,False,Boş,True,Karşıyaka Mh.,False,79,2+1,True,True,True,Antalya,True,Kepez,Hayır,Evet,False,False,False
633591759,Belirtilmemiş,True,False,True,False,False,False,Var,1,2,False,True,130,2,False,False,False,False,False,Satılık Daire,Hayır,390.000 TL,False,True,True,True,False,07 Aralık 2018,True,True,Klima,False,False,4,Emlak Ofisinden,False,Boş,False,Meydankavağı Mh.,False,120,2+1,True,False,False,Antalya,True,Muratpaşa,Evet,Evet,False,False,True
